drillId,name,difficulty,category,duration,url,isHidden,source,skillSet,goal,description,equipment,videoCount
2nd-baseman-underhand-flip,2nd Baseman Underhand Flip,Medium,Infield,,,,orphan,Custom,"To develop a quick, efficient, and accurate underhand flip technique for close-range feeds, particularly during double plays.","From the second base position, field a ground ball and establish a firm grip. As you approach the bag, create momentum with your lower half by stepping toward your target. Use a firm wrist and a smooth, pendulum-like arm motion to deliver an accurate underhand flip to the chest area of the player covering the base.",Varies,1
3-plate-adjustment-drill,3 Plate Adjustment Drill,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=3-plate-adjustment-drill,,static,Hitting,Develop a hitter's timing and adjustability to different pitch speeds without changing their core swing mechanics.,"Set up three home plates in a line toward the pitcher, spaced approximately 3–5 feet apart (typically at 10, 15, and 20 feet from the tosser).,A coach stands behind an L-screen and delivers front-toss pitches at a constant speed while the batter takes 3–5 swings at each plate, starting from the back and progressing forward (or vice versa).,Because the toss speed never changes, the distance determines the difficulty: the back plate simulates a slow off-speed pitch requiring the hitter to stay back and wait, while the front plate simulates a high-velocity fastball that forces the hitter to load earlier and use quicker hands.,The goal is for the hitter to maintain their core swing mechanics while adjusting their timing and rhythm so the front foot is down before contact at every station.","3 home plates, L-screen, baseballs, bat",1
30-second-backhand,30 Second Backhand,Medium,Infield,,,,orphan,Custom,To build a player's confidence and consistency in making the routine backhand play.,"A coach or partner rolls a continuous stream of ground balls to the player's backhand side for 30 seconds. The player must maintain a low, athletic stance, moving their feet to create a good fielding angle for each ball. The emphasis is on watching the ball into the glove and using a clean, one-handed scoop.",Varies,1
30-second-backhand-cross,30 Second Backhand Cross,Medium,Infield,,,,orphan,Custom,"To enhance a player's lateral agility, improve their backhand fielding mechanics, and develop muscle memory for quick, efficient transfers on difficult plays.","From an athletic fielding position, the player will react to a series of balls rolled or tossed to their backhand side for a continuous 30-second interval. The player must execute a quick crossover step, get their body in front of the ball, and cleanly field it with a backhand technique. After securing the ball, the player should simulate a strong and accurate throw to first base.",Varies,1
30-second-crow-hops,30 Second Crow Hops,Medium,Uncategorized,,,YES,orphan,Custom,"To develop proper footwork and momentum for long throws, reinforcing the mechanics of a quick and efficient crow hop.","From a ready athletic position, an infielder will receive a ground ball or a feed from a coach and immediately execute a crow hop to simulate a long throw across the diamond. The player should focus on gaining ground toward their target with a quick, explosive hop, ensuring their feet are aligned upon landing to facilitate a powerful and accurate throw. This drill emphasizes rapid footwork and maintaining momentum through the throwing motion in a continuous, timed sequence.",Varies,1
30-second-grounders,30 Second Grounders,Medium,Uncategorized,,,YES,orphan,Custom,"To develop the fielder's endurance, focus, and ability to maintain proper defensive mechanics while handling a high volume of repetitions in a short period.","A coach or partner hits a continuous series of ground balls to a fielder for 30 seconds without stopping. The fielder must maintain a low, athletic fielding posture, focusing on watching the ball into the glove and using quick feet to get in front of each grounder. After fielding, the player should practice a quick, clean exchange to the throwing hand before discarding the ball and preparing for the next repetition.",Varies,1
30-second-quick-toss,30 Second Quick Toss,Medium,Hitting,,,,orphan,Custom,"To develop rapid glove-to-hand transfers, improve throwing accuracy under pressure, and enhance overall hand speed.","Two players stand approximately 10-15 feet apart in an athletic stance. Using one ball, they engage in a rapid-fire game of catch for 30 seconds, focusing on a quick, clean exchange from glove to throwing hand. The goal is to make as many accurate throws as possible to the partner's chest within the time limit, maintaining proper footwork and a consistent release point.",Varies,1
30-second-short-hops,30 Second Short Hops,Medium,Infield,,,,orphan,Custom,"To improve an infielder's ability to handle difficult short hops by developing quick, soft hands and confidence.","A coach or partner kneels 10-15 feet away and throws a continuous series of short hops to a player in a ready fielding position for 30 seconds. The player should focus on keeping their glove out front, reading the bounce quickly, and using soft hands to absorb the ball. This drill emphasizes quick reactions and proper fielding mechanics under pressure.",Varies,1
4-corners,4 Corners,Medium,Infield,,,,orphan,Custom,"To develop quick feet, soft hands, and rapid ball transfer for infielders.","Set up four cones in a diamond shape, with a player at each cone. The drill begins with a player at one cone throwing a groundball to the player at the next cone in a clockwise direction. Each player fields the ball and makes a quick, accurate throw to the next player in the sequence, continuing the pattern around the diamond.",Varies,0
4-corners-bunting,4 Corners Bunting,Medium,Hitting,15m,https://usabdevelops.com/page/1363/drills?q=4-corners-bunting,,static,Custom,To improve bat control and the ability to execute situational bunts successfully into specific target areas under pressure.,"Place four targets or cones in the corners of the bunting zone and attempt to deaden the ball into each specific area. Focus on ""catching"" the ball with the barrel and using your legs to adjust to different heights rather than just your arms. This improves bat control and the ability to execute situational bunts under pressure.",Varies,1
43-drill,4.3 Drill,Hard,Infield,10m,,,custom,Infield," Improve infield drill performance so that each position can consistently field the ball and make an accurate throw to first base in 4.3 seconds or less per attempt. This will enhance defensive speed,",,Varies,1
7-ball-front-toss,7 Ball Front Toss,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=7-ball-front-toss,,static,Custom,To improve hitting endurance and maintain mechanical efficiency under conditions of rapid repetition and fatigue.,"A coach tosses seven balls in rapid succession to different areas of the strike zone, requiring the hitter to reset quickly between swings. This drill builds conditioning, improves hand-eye coordination, and forces the hitter to maintain short, compact paths to the ball as fatigue sets in.",Varies,1
90/45/even-progression-tee,90/45/Even Progression Tee,Medium,Hitting,,,,orphan,Custom,To master the ability to control ball direction by adjusting the contact point based on pitch location.,"Position the tee at three different angles relative to the hitter's stance to practice directional hitting. Swing at balls set up for pull-side (90), up the middle (even), and opposite field (45) to learn how the contact point changes for each. This teaches the hitter how to let the ball travel or meet it out front based on location.",Varies,0
9045even-progression-tee,90/45/Even Progression Tee,Hard,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=90-45-even-progression-tee,,static,Hitting,Build better shoulder control and loading pattern by progressing from exaggerated positions into a normal stance.,,Varies,1
airplane-drill,Airplane Drill,Medium,Hitting,10m,,,custom,Hitting,To teach hitters how to effectively integrate hip hinge and shoulder plane mechanics into their swing using the airplane drill.,,Varies,1
angle-flips,Angle Flips,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills/3230/angle-flips,,static,Hitting,Train hitters to stay inside the baseball and drive the ball back up the middle.,"The coach sits at a 45-degree angle to the hitter and flips balls toward the plate, forcing the hitter to stay ""inside"" the ball to drive it back toward the coach. This prevents ""pulling off"" the ball and encourages a path that stays through the hitting zone for as long as possible.",Varies,1
angled-force-plate-tee-back-foot,Angled Force Plate Tee - Back Foot,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=angled-force-plate-tee---back-foot,,static,Hitting,"Goal: Hit the ball back up the middle, keeping the body weight inside the back foot","The tee is set up in front of the middle of the plate.
,The hitter sets up even with the plate, while the partner places a ball on the tee.
,Place an angled force plate under the back foot.
,The objective is to hit the ball back up the middle using a standard loading pattern and stride, while keeping the hitter’s body weight on the back foot.,The angle of the force plate will prevent hitters from drifting backwards and losing their center of gravity","Tee, baseballs, net or screen to hit into, angled force plate",1
angled-force-plate-tee---back-foot,Angled Force Plate Tee Back Foot,Medium,Hitting,,,,orphan,Hitting,To improve ground force transmission and prevent back leg collapse by strengthening the push-off mechanics from the inside of the back foot.,"Place a force plate or an angled block under the back foot to emphasize pushing off the inside of the foot rather than collapsing the ankle. This creates a stronger foundation and helps the hitter transfer energy from the ground up through the core. It is excellent for hitters who struggle with ""spinning out"" on their back side.",Varies,0
anti-rotation-resistance-drill,Anti Rotation Resistance Drill,Easy,Hitting,5m,,,custom,Hitting,"This drill helps hitters who struggle with over-rotating their shoulders or hips too early, which often leads to loss of power and poor swing mechanics. It benefits players working on posture, hip hin",,Varies,1
arm-path-drill,Arm Path Drill,Intermediate,Pitching,,,,orphan,Pitching,To develop a consistent and efficient arm action that promotes throwing accuracy and reduces the risk of injury.,"Begin in a balanced pitching stance with the ball in your glove at your chest. Break your hands and simulate your throwing motion in slow motion, focusing on a consistent and efficient arm path. Concentrate on achieving a proper 'scap load' position before moving through a fluid, circular motion to a high release point, building muscle memory for a smooth delivery.","Bat, Ball",0
arm-speed,Arm Speed,Intermediate,Pitching,,,,orphan,Pitching,"To enhance the pitcher's natural arm speed and develop a more efficient, quick arm path to the release point.","From a standing or kneeling position, the pitcher performs rapid, controlled arm circles both forward and backward, focusing on a loose and fluid motion. The emphasis is on moving the arm as quickly as possible without tension, using a towel or a light training ball to ensure the focus remains on speed rather than force. This drill isolates the arm action to build neuromuscular speed and endurance.","Bat, Ball",1
back-foot-cone-tee,Back Foot Cone Tee,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=back-foot-cone-tee,,static,Hitting,To reinforce proper balance and prevent the collapse of the back side during the swing.,"Place a small plastic cone just behind the hitter's back foot to serve as a physical boundary. If the hitter's heel or weight collapses backward during the swing, they will tip the cone, providing immediate feedback on balance. This encourages a vertical axis and proper hip rotation without losing ground.",Varies,1
back-hip-load-tee,Back Hip Load Tee,Hard,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=back-hip-load-tee,,static,Hitting,Teach hitters to load into the back hip with more control before launching forward.,"Set up two tees — one in the middle of the plate (slightly off the front leg) and one behind the hitter near the back knee, angled with a baseball underneath. A coach or partner observes balance, direction, and load mechanics",Varies,1
back-net-constraint-tee,Back Net Constraint Tee,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=back-net-constraint-tee,,static,Hitting,"To develop a short, compact, and efficient barrel path by eliminating casting or looping in the swing.","Set the tee up with a net placed just behind the hitter’s back shoulder, forcing a tight, ""hand-led"" turn. If the hitter ""casts"" their hands or has a long ""loop"" in their swing, the bat will strike the net behind them. This drill is essential for developing a short, compact swing path to the ball.",Varies,1
backhand-cross-and-throw,Backhand Cross And Throw,Medium,Infield,,,,orphan,Custom,"To develop an infielder's ability to cleanly field a backhand ground ball and execute a quick, powerful throw across the diamond.","An infielder starts in a ready position and moves to their backhand side to field a ground ball. After securing the ball, they use a quick crossover step with their throwing-side foot to open their hips and shoulders toward the target. The drill finishes with a strong, accurate throw to first base, emphasizing a fluid transition from fielding to throwing.",Varies,0
backhand-pick-&-stick-fungo,Backhand Pick & Stick Fungo,Medium,Infield,,,,orphan,Custom,"To develop proper footwork, glove action, and body control while executing a clean backhand play on a ground ball.","An infielder sets up in a ready position as a coach hits a medium-paced fungo ground ball to their backhand side. The player must move their feet to get into a proper fielding position, extend their glove across their body to receive the ball, and secure it cleanly. Upon receiving the ball, the player should 'stick' the position for a moment, demonstrating balance and control through the backhand fielding motion.",Varies,0
backhand-pick-stick-fungo,Backhand Pick Stick Fungo,,Infield,,,,video-orphan,,,,,1
backhand-rake-fungo,Backhand Rake Fungo,Medium,Infield,,,,orphan,Custom,"To develop an infielder's ability to attack backhand ground balls with proper footwork and a clean, continuous glove action.","An infielder begins in a ready stance and breaks to their backhand side to field a ground ball from a fungo bat. The player should focus on taking an aggressive angle to get around the ball, staying low while sweeping the glove across the ground in a ""raking"" motion to secure the ball. This drill emphasizes fluid footwork and maintaining momentum through the play to make a strong throw.",Varies,1
backside-angle-toss,Backside Angle Toss,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=backside-angle-toss,,static,Hitting,"To improve late tracking ability and reinforce a direct, efficient path to the baseball.","The tosser stands behind the hitter and flips the ball into the hitting zone from behind the shoulder. The hitter must track the ball as it enters their peripheral vision and react quickly, which improves ""late"" tracking and forces a direct path to the ball.",Varies,1
balance-beam,Balance Beam,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=balance-beam,,static,Custom,"To enhance core stability and balance throughout the swing, ensuring a controlled and centered finish.","Perform tee work while standing on a 2x4 wooden beam or a specialized balance rail to challenge stability. If the hitter reaches too far or falls off balance during the follow-through, it indicates a flaw in their center of gravity. This builds a rock-solid foundation and core control.",Varies,1
balance-drill,Balance Drill,Intermediate,Pitching,,,,orphan,Pitching,"To develop a stable and repeatable balance point, which is crucial for consistent mechanics and command.","From the stretch position, the pitcher will come set, lift their lead leg to a balanced position, and hold for a count of three to five seconds before returning to the set position. The focus is on maintaining a stable head and a controlled posture over the landing leg without wobbling. This drill should be repeated multiple times to build muscle memory and core stability.","Bat, Ball",1
balance-pause-drill,Balance Pause Drill,Medium,Pitching,,,,orphan,Pitching,"To develop body control and a consistent, powerful posture at the top of the pitching delivery.","Start on the pitching rubber with a slight weight bias on your drive leg. Lift your lead leg to your balance point, pausing for a full three to five seconds to ensure your posture is stable and your head is centered over your back leg. If you lose balance, reset and repeat the hold, focusing on a strong core and a controlled, deliberate motion before proceeding with your throw.",,1
balanced-stationary-drill,Balanced Stationary Drill,Intermediate,Pitching,,,,orphan,Pitching,"To isolate the upper body, developing proper core engagement and extension in the pitching motion without lower body involvement.","Begin in a balanced, athletic stance with your glove-side shoulder aimed at your target, mimicking your landing position. Your throwing-side foot is anchored behind you as if on the pitching rubber. Execute the throw by focusing on upper body mechanics, emphasizing core engagement and full extension through the release, all while keeping your back foot firmly planted to maintain balance.","Bat, Ball",1
balanced-stationary-drill-with-upper-body,Balanced Stationary Drill With Upper Body,Intermediate,Hitting,,,,orphan,Hitting,To refine upper body mechanics and improve balance by isolating the throwing motion from the lower half.,"Begin in a balanced, athletic stance with your feet shoulder-width apart, simulating the 'set' position. Without moving your lower body, isolate your upper half and execute your full pitching motion, focusing on arm path and shoulder rotation. Concentrate on maintaining a stable core and a consistent release point throughout the movement.","Bat, Ball",1
ball-down-front-toss,Ball Down Front Toss,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=ball-down-front-toss,,static,Custom,To teach the hitter proper body mechanics and barrel path required to effectively hit low pitches.,"The coach tosses the ball specifically to the bottom of the strike zone, requiring the hitter to stay in their legs and maintain a proper spine angle. This prevents ""reaching"" with the hands and teaches the hitter how to elevate low pitches by getting the barrel underneath the ball correctly.",Varies,1
ball-hit-front-toss,Ball Hit Front Toss,Easy,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=ball-hit-front-toss,,static,Custom,"To enhance pitch recognition, cognitive processing, and swing discipline by forcing the hitter to make immediate, accurate decisions on whether to swing or take the pitch.","The coach holds two balls and yells ""Ball"" or ""Hit"" just before the toss; if ""Hit"" is called, the hitter swings, but if ""Ball"" is called, the hitter must take the pitch. This sharpens cognitive processing and discipline, ensuring the hitter is tracking the ball all the way into the zone.",Varies,1
ball-in-hand,Ball In Hand,Medium,Uncategorized,,,YES,orphan,Custom,"To develop a quick, clean exchange and reinforce the proper footwork needed to make an accurate throw.","Begin in a standard infield athletic position with a baseball already secured in your glove. On a coach's signal, simulate the process of fielding a ground ball by transitioning the ball from your glove to your throwing hand as you shuffle your feet toward the target. This drill removes the variable of fielding a live ball, allowing the player to concentrate solely on a clean exchange and proper footwork alignment before the throw.",Varies,1
ball-in-the-sun,Ball In The Sun,Intermediate,Hitting,,,,orphan,Hitting,To train outfielders to confidently track and catch fly balls while effectively shielding their eyes from direct sunlight.,"The drill starts with an outfielder positioned in their ready stance as a coach throws a high fly ball directly into the sun's path. The player must track the ball while using their glove to shield their eyes from the glare, timing the catch perfectly without losing sight of the ball. This exercise simulates the challenge of making a play when the sun is a major visual obstruction, forcing the player to rely on technique and feel.","Bat, Ball",1
band-assisted-hip-hinge,Band Assisted Hip Hinge,Medium,Hitting,10m,,,custom,Hitting,The primary goal of the Band-Assisted Hip Hinge Drill is to force the hitter to maintain a proper hip hinge throughout the swing,,Varies,1
bat-behind-hips,Bat Behind Hips,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=bat-behind-hips,,static,Hitting,To isolate the lower body and core mechanics to teach the proper sequence of hip-led rotation in the swing.,"Hold the bat horizontally against the small of the back, hooked into the elbows, and practice dry rotations toward a tee. This drill isolates the lower body and core, showing the hitter how the hips should lead the swing without relying on the arms to create movement.",Varies,1
bat-between-feet-drill,Bat Between Feet Drill,Medium,Hitting,10m,,,custom,Hitting,"Tio get hitters to maintain a strong, stable back foot connection to the ground while using a proper hip hinge. This leads to better rotation, more power, and a more controlled swing that finishes in ",,Varies,1
beginner's-batting-practice,Beginner'S Batting Practice,Medium,Hitting,,,,orphan,Custom,"To establish foundational hitting confidence and muscle memory through consistent stance, full follow-through, and high-volume repetitions.","Focus on high-volume, easy-to-hit tosses directly over the heart of the plate to build confidence and muscle memory. The emphasis is on a consistent starting stance and a full, balanced follow-through. It is the foundational step for establishing a ""feel"" for the barrel.",Varies,0
behind-the-hitter,Behind The Hitter,Medium,Uncategorized,,,YES,orphan,Custom,Custom Drill,,Varies,0
behind-the-hitter-toss-1-2-3,Behind the Hitter Toss 1-2-3,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills?q=behind-the-hitter-toss-1-2-3,,static,Custom,To enhance elite reaction time and hand speed by forcing the hitter to execute the swing based on immediate visual recognition and rhythm.,"Combine the 1-2-3 rhythm drill with a toss coming from behind the hitter's back hip. The hitter counts ""one, two"" as they load, and the coach tosses on ""three,"" forcing the hitter to react to a ball they didn't see until the last moment. This builds elite reaction time and hand speed.",Varies,1
belly-button-tee,Belly Button Tee,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=belly-button-tee,,static,Hitting,"To reinforce a flat, powerful swing plane through the middle of the strike zone on pitches at belt height.","Place the tee at the height of the hitter's navel to practice hitting the ""belt-high"" strike. Hitters often struggle with this height by either ""chopping"" down or ""looping"" up; this drill reinforces a flat, powerful plane through the middle of the zone.",Varies,1
bottom-hand-tee,Bottom Hand Tee,Easy,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=bottom-hand-tee,,static,Custom,"To strengthen the lead hand's pulling action and ensure the lead arm maintains a connected, direct path to the baseball.","Choke up on the bat and use only the lead hand to swing at the ball on the tee. This strengthens the ""pulling"" motion of the swing and ensures the lead arm doesn't ""wing out"" or become disconnected from the body. It is vital for maintaining a direct path to the ball.",Varies,1
bounce-drill,Bounce Drill,Medium,Hitting,10m,,,custom,Hitting,,,Varies,1
bow-and-arrow-drill,Bow and Arrow Drill,Easy,Hitting,5m,,,custom,Hitting,"Teach hitters to feel and maintain proper separation by reinforcing scap load, rear-side stability, and the connection between the upper and lower half.",,Varies,1
box-drill--2nd-baseman-double-play-feeds,Box Drill 2nd Baseman Double Play Feeds,Medium,Infield,,,,orphan,Custom,"To develop the footwork, rhythm, and quickness required for a second baseman to efficiently field a ground ball and make an accurate feed to turn a double play.","Set up four cones in a square to create a 'box' around the second base position. The player starts in the center of the box, and on a ground ball rolled from a coach, they will break to the ball, field it cleanly, and execute a quick, accurate feed to the shortstop covering the bag. This drill emphasizes efficient footwork and creating proper angles to the bag to ensure a smooth double play turn.",Varies,0
box-drill-2nd-baseman-double-play-feeds,Box Drill 2nd Baseman Double Play Feeds,,Infield,,,,video-orphan,,,,,1
box-drill--shortstop-double-play-feeds,Box Drill Shortstop Double Play Feeds,Medium,Infield,,,,orphan,Custom,"To improve a shortstop's ability to make quick, accurate, and efficient feeds to second base while maintaining proper body control in the turn of a double play.","Set up a square box of cones around the shortstop position to create a confined space for movement. On a ground ball from a coach, the shortstop fields the ball and executes a fundamentally sound feed to a partner at second base, focusing on a quick transfer and proper footwork within the box. The drill should incorporate feeds from different angles, including underhand tosses and backhand flips, to simulate various game situations.",Varies,0
box-drill-shortstop-double-play-feeds,Box Drill Shortstop Double Play Feeds,,Infield,,,,video-orphan,,,,,1
break-down-and-come-through,Break Down And Come Through,Intermediate,Hitting,,,,orphan,Hitting,To develop the fundamental footwork and body control required for an outfielder to properly field a ground ball and transition into a throw.,"An outfielder approaches a ground ball, chopping their feet to get into a controlled 'break down' position with their glove-side foot forward. As they receive the ball, they 'come through' it, securing the catch out in front and transitioning their feet and body into a powerful and aligned throwing position. This drill emphasizes fielding the ball cleanly and preparing for a quick, accurate throw.","Bat, Ball",1
break-of-the-hands-drill,Break Of The Hands Drill,Intermediate,Pitching,,,,orphan,Hitting,"To develop a smooth and repeatable hand break, ensuring a consistent arm path and proper timing in the pitching delivery.","Begin in a standard pitching stance, coming to a balanced position. As you initiate your motion, concentrate on a clean and efficient separation of your hands. The throwing hand should move down, back, and up in a fluid arc, while the glove hand provides balance and direction toward the target. This exercise isolates the critical 'hand break' to build muscle memory for a consistent arm action.","Bat, Ball",1
chair-drill,Chair Drill,Intermediate,Hitting,,,,orphan,Hitting,"To develop lower-body strength and explosive power from the ground up, improving drive and balance in the pitching delivery.","Sit on the edge of a sturdy chair or stool with your feet in your pitching stance, simulating your position on the mound. Drive up from the chair as you begin your throwing motion, focusing on using your legs and glutes to generate power. Explode out of the seated position, ensuring your hips and shoulders rotate in sequence toward the target. This drill isolates the lower half, forcing the pitcher to engage their leg muscles for momentum rather than relying solely on their arm.","Bat, Ball",0
change-up-catch,Change Up Catch,Easy,Pitching,,,,orphan,Pitching," Keep arm speed same as it would be for fastball, and keep good mechanics","The catcher sets up in their standard receiving position while the pitcher throws exclusively change-ups. The catcher must focus on tracking the pitch out of the hand, recognizing the reduced velocity, and staying balanced to receive the ball cleanly in the pocket of the mitt. This drill emphasizes patience and a soft glove hand to avoid stabbing at the slower pitch.",Glove and Partner,1
change-up-grips,Change Up Grips,Intermediate,Pitching,,,,orphan,Hitting,To develop a repeatable change-up grip that maximizes deception and control.,"This drill focuses on finding a comfortable and effective change-up grip. Experiment with various grips like the circle change, three-finger, or vulcan change, focusing on how each feels in your hand and upon release. The key is to maintain your natural arm speed and slot, allowing the grip itself to reduce the pitch's velocity and create deception.","Bat, Ball",1
change-up-front-toss,Change-Up Front Toss,Medium,Hitting,10m,https://usabdevelops.com/page/1363/drills/3088/change-up-front-toss,,static,Hitting,"To build ""stay back"" discipline, teaching the hitter to recognize speed changes and hold their weight back.","The coach mixes in slower, higher-arc tosses with standard front flips without warning. The hitter must recognize the speed difference and ""wait"" with their lower half, avoiding the common mistake of lunging forward. This builds ""stay back"" discipline and adjustability.",Varies,1
change-up-tee,Change-Up Tee,Hard,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=change-up-tee,,static,Custom,"To train ""mid-stride adjustability,"" forcing the hitter to change their timing and hand path based on a last-second cue.","Set up two tees at different heights and depths, and have a partner call out which one to hit just as the hitter starts their stride. This forces the hitter to adjust their mechanics mid-motion, simulating the timing change required to hit an off-speed pitch.",Varies,1
color-front-toss,Color Front Toss,Hard,Hitting,10m,https://usabdevelops.com/page/1363/drills/3224/color-front-toss,,static,Hitting,"To force ""active"" visual tracking, ensuring the hitter's eyes are locked onto the ball's details rather than just its general path.","Use balls with different colored dots or seams and have the hitter call out the color before making contact. This forces the eyes to focus intensely on the ball rather than just ""zoning out,"" which significantly improves tracking and contact quality.",Varies,1
crossover-drill,Crossover Drill,Medium,Hitting,10m,,,custom,Hitting,"The goal of the crossover hitting drill is to improve lower-body control, sequencing, and balance by forcing the hitter to feel proper weight transfer and hip rotation, helping eliminate spinning, lun",,Varies,1
crow-hops,Crow Hops,Intermediate,Throwing,,,,orphan,Hitting,To maximize throwing velocity and accuracy from the outfield by creating linear momentum toward the target.,"After fielding the ball, an outfielder takes a small, athletic hop forward, landing on their throwing-side foot while bringing their glove-side foot forward. This explosive step helps to align the body toward the target and generate momentum through the lower half. The player then transfers this energy into a powerful and accurate throw, ensuring the ball reaches its destination with velocity.","Bat, Ball",1
